timestamp,clostridia_SU
2018-04-12 13:20:00,10
2018-04-16 10:45:00,16
2018-04-19 09:00:00,18
2018-04-23 11:04:00,6
2018-04-26 11:45:00,16
2018-04-30 12:30:00,8
2018-05-03 09:10:00,64
2018-05-07 11:15:00,6
2018-05-11 08:22:00,12
2018-05-31 10:20:00,14
2018-06-07 14:30:00,4
2018-06-14 13:35:00,12
2018-06-21 11:25:00,8
2018-06-28 11:10:00,8
2018-07-05 08:47:00,2
2018-07-12 09:45:00,10
2018-07-19 09:45:00,8
2018-07-27 10:38:00,4
2018-08-02 12:45:00,1
2018-08-09 11:13:00,2
2018-08-16 10:05:00,4
2018-08-23 11:42:00,<2
2018-08-30 11:35:00,<2
2018-09-05 13:00:00,6
2018-09-13 09:11:00,12
2018-09-21 12:05:00,14
2018-09-27 13:00:00,4
2018-10-05 13:40:00,12
2018-10-09 12:51:00,10
2018-10-11 14:10:00,22
2018-10-18 08:54:00,12
2018-10-26 09:00:00,12
2018-11-01 13:00:00,32
2018-11-08 12:45:00,30
2018-11-14 14:35:00,14
2018-11-22 12:00:00,4
2018-11-29 12:05:00,4
2018-12-06 12:10:00,46
2018-12-12 12:30:00,48
2018-12-20 11:45:00,10
2018-12-27 11:10:00,12
2019-01-03 09:20:00,10
2019-01-10 12:05:00,32
2019-01-14 09:54:00,10
2019-01-16 12:30:00,12
2019-01-21 11:00:00,46
2019-01-28 11:15:00,14
2019-02-04 09:15:00,20
2019-02-11 08:15:00,160
2019-02-13 09:25:00,120
2019-02-18 09:35:00,14
2019-02-25 09:14:00,36
2019-03-04 10:45:00,24
2019-03-13 09:20:00,12
2019-03-18 11:00:00,24
2019-03-25 09:20:00,12
2019-04-01 09:03:00,24
2019-04-08 09:10:00,6
2019-04-10 09:05:00,16
2019-04-15 09:11:00,24
2019-04-23 10:00:00,12
2019-04-29 08:30:00,4
2019-05-06 10:35:00,14
2019-05-08 11:25:00,4
2019-05-13 10:20:00,6
2019-05-20 08:30:00,2
2019-05-27 11:15:00,12
2019-06-03 08:40:00,6
2019-06-10 09:25:00,6
2019-06-11 08:50:00,6
2019-06-17 10:45:00,4
2019-06-24 08:25:00,<2
2019-07-01 08:10:00,4
2019-07-09 09:00:00,12
2019-07-15 08:20:00,<2
2019-07-17 09:50:00,4
2019-07-22 09:53:00,4
2019-07-29 10:20:00,4
2019-08-05 09:25:00,4
2019-08-12 14:00:00,16
2019-08-14 11:20:00,12
2019-08-19 10:20:00,4
2019-08-26 09:32:00,6
2019-09-02 10:10:00,2
2019-09-11 08:15:00,14
2019-09-16 08:50:00,34
2019-09-23 09:10:00,32
2019-09-30 09:15:00,40
2019-10-07 13:22:00,28
2019-10-09 11:00:00,14
2019-10-14 08:25:00,14
2019-10-21 09:10:00,34
2019-11-04 09:15:00,6
2019-11-11 09:44:00,12
2019-11-13 08:30:00,16
2019-11-18 10:50:00,14
2019-11-25 09:15:00,8
2019-12-02 09:00:00,16
2019-12-09 09:55:00,54
2019-12-11 10:50:00,48
2019-12-16 12:10:00,16
2019-12-23 09:20:00,10
