timestamp,color410_LAE
2018-01-03 07:25:00,22.0
2018-01-10 08:30:00,19.0
2018-01-17 08:00:00,18.0
2018-01-24 08:18:00,18.0
2018-01-31 08:50:00,33.0
2018-02-07 08:10:00,20.0
2018-02-14 07:45:00,19.0
2018-02-21 08:50:00,17.0
2018-02-28 08:00:00,16.0
2018-03-07 07:15:00,14.0
2018-03-14 08:20:00,21.0
2018-03-21 09:00:00,18.0
2018-03-28 08:45:00,16.0
2018-04-04 07:45:00,15.0
2018-04-11 07:45:00,17.0
2018-04-18 08:10:00,17.0
2018-04-25 08:10:00,19.0
2018-05-02 09:00:00,22.0
2018-05-09 07:40:00,18.0
2018-05-16 08:40:00,16.0
2018-05-23 08:30:00,16.0
2018-05-30 08:36:00,15.0
2018-06-05 09:10:00,14.0
2018-06-13 08:15:00,14.0
2018-06-20 08:35:00,13.0
2018-06-27 07:45:00,16.0
2018-07-04 10:05:00,13.0
2018-07-11 08:50:00,12.0
2018-07-18 08:55:00,12.0
2018-07-25 07:15:00,11.0
2018-08-01 08:45:00,12.0
2018-08-08 08:15:00,11.0
2018-08-08 11:15:00,12.0
2018-08-15 09:12:00,12.0
2018-08-22 08:55:00,12.0
2018-08-29 08:05:00,12.0
2018-09-06 08:10:00,12.0
2018-09-12 07:50:00,15.0
2018-09-19 09:19:00,19.0
2018-09-26 09:00:00,15.0
2018-10-03 07:55:00,15.0
2018-10-10 08:10:00,18.0
2018-10-17 08:00:00,15.0
2018-10-24 08:30:00,13.0
2018-10-31 07:50:00,13.0
2018-11-07 08:25:00,19.0
2018-11-14 08:10:00,17.0
2018-11-21 08:55:00,17.0
2018-11-28 09:41:00,12.0
2018-12-05 08:05:00,16.0
2018-12-12 08:33:00,27.0
2018-12-19 08:05:00,14.0
2018-12-27 07:40:00,15.0
2019-01-02 07:35:00,15.0
2019-01-09 09:34:00,14.0
2019-01-16 09:55:00,13.0
2019-01-23 09:00:00,14.0
2019-01-30 09:19:00,14.0
2019-02-06 08:35:00,13.0
2019-02-13 09:43:00,40.0
2019-02-20 08:35:00,20.0
2019-02-27 08:35:00,18.0
2019-03-06 00:00:00,22.0
2019-03-06 08:30:00,18.0
2019-03-13 10:00:00,19.0
2019-03-20 08:47:00,24.0
2019-03-27 08:31:00,15.0
2019-04-03 09:53:00,13.0
2019-04-10 08:40:00,15.0
2019-04-17 08:27:00,14.0
2019-04-24 08:28:00,14.0
2019-05-02 08:52:00,13.0
2019-05-08 08:52:00,13.0
2019-05-15 08:23:00,13.0
2019-05-22 08:31:00,14.0
2019-05-29 08:32:00,13.0
2019-06-05 08:41:00,14.0
2019-06-11 10:50:00,14.0
2019-06-12 08:34:00,12.0
2019-06-19 08:27:00,13.0
2019-06-26 08:30:00,12.0
2019-07-03 08:46:00,13.0
2019-07-10 09:20:00,14.0
2019-07-17 08:24:00,13.0
2019-07-24 08:27:00,11.0
2019-07-31 08:36:00,11.0
2019-07-31 09:36:00,11.0
2019-08-07 08:37:00,12.0
2019-08-14 08:48:00,13.0
2019-08-21 08:46:00,13.0
2019-08-28 08:33:00,13.0
2019-09-04 11:12:00,14.0
2019-09-11 08:50:00,21.0
2019-09-18 08:44:00,30.0
2019-09-25 08:35:00,15.0
2019-10-02 10:41:00,23.0
2019-10-09 08:38:00,14.1
2019-10-16 08:41:00,23.0
2019-10-23 08:42:00,31.0
2019-10-30 08:37:00,25.0
2019-11-06 09:05:00,19.0
2019-11-13 07:34:00,18.0
2019-11-20 09:35:00,20.0
2019-11-20 09:55:00,20.0
2019-11-27 09:01:00,21.0
2019-12-04 09:18:00,19.0
2019-12-11 09:49:00,27.0
2019-12-18 07:58:00,27.0
2019-12-26 09:26:00,19.0
